"domain","surface","action_or_data","classification","authority","projection_or_consumer","evidence","risk_or_required_action"
"DORM","backend","checkin","REAL","DormBed current occupancy","CsDormRecord","backend/app/services/affairs_dorm_reliability_service.py","行锁/性别/唯一床已实现"
"DORM","backend","checkout","REAL","DormBed+future DormStay","CsDormRecord","backend/app/services/affairs_dorm_checkout_guard.py","显式 version；D4 补历史"
"DORM","backend","transfer submit/review","REAL","t_affairs_dorm_transfer","UnifiedTodo+bed projection","backend/app/services/affairs_dorm_reliability_service.py","复用表；后续接统一 workflow"
"DORM","backend","transfer atomic execution","REAL","DormBed transaction","CsDormRecord","backend/app/services/affairs_dorm_reliability_service.py","目标床二检，避免一生多床"
"DORM","backend","check task/record","REAL","t_affairs_dorm_check_task|record","exception/risk","backend/app/models/affairs_dorm.py","多检查项和 provider 证据待扩"
"DORM","backend","exception","REAL_WITH_SCOPE_GAP","t_cs_dorm_exception","risk link","backend/app/models/campus_service.py","缺稳定 building/room/bed 来源字段"
"DORM","backend","dorm building scope","REAL_WITH_IDENTITY_GAP","role scope+stable user assignment","manager_teacher_key","backend/app/services/affairs_dorm_service.py","唯一真实姓名回退必须移除"
"DORM","backend","unknown scope fallback","REAL_FAIL_CLOSED","affairs security","empty/403","backend/app/core/affairs_security.py","保持未知范围为空/拒绝"
"DORM","backend","cross-building write","REAL_FAIL_CLOSED","scope resolver","API","backend/tests/test_affairs_dorm.py","已有拒绝测试"
"DORM","teacher_pc","legacy /dormitory","REAL","dorm API","StudentAffairsDormitoryView","frontend/src/modules/studentAffairs/studentAffairs.routes.js","A1 保留兼容"
"DORM","teacher_pc","resource workspace","REAL","building-room-bed API","DormResourceView","frontend/src/modules/studentAffairs/views/dorm","D1 专业化不重造 API"
"DORM","teacher_pc","checkin workspace","REAL","checkin/checkout API","DormCheckinView","frontend/src/modules/studentAffairs/views/dorm","D1 补房态与详情"
"DORM","teacher_pc","transfer workspace","REAL","transfer API","DormTransferView","frontend/src/modules/studentAffairs/views/dorm","D1 补节点队列/冲突反馈"
"DORM","teacher_pc","check workspace","REAL","check task/record API","DormCheckView","frontend/src/modules/studentAffairs/views/dorm","D1 补专业任务体验"
"DORM","teacher_pc","exception workspace","REAL","exception API","DormExceptionView","frontend/src/modules/studentAffairs/views/dorm","D1 补范围与风险证据"
"DORM","teacher_pc","stats workspace","REAL_BUT_BASIC","dorm API","DormStatsView","frontend/src/modules/studentAffairs/views/dorm","D5 收口统计口径"
"DORM","student_pc","my current dorm","REAL","DormBed/CsDormRecord projection","AffairsFourEndView","student-portal/src/views/affairs/AffairsFourEndView.vue","只允许本人"
"DORM","student_pc","transfer options/rooms/beds","REAL","scoped dorm API","AffairsFourEndView","student-portal/src/services/affairsFourEndApi.js","服务端二次校验"
"DORM","student_pc","submit/my transfers","REAL","t_affairs_dorm_transfer","AffairsFourEndView","student-portal/src/services/affairsFourEndApi.js","学生不得直接释放旧床"
"DORM","student_miniapp","my dorm","REAL","dorm API","student dorm page","miniapp/src/pages/student/affairs/dorm.vue","失败不得显示为 0 条"
"DORM","student_miniapp","submit/my transfers","REAL","t_affairs_dorm_transfer","student dorm page","miniapp/src/pages/student/affairs/dorm.vue","生产禁 mock fallback"
"DORM","teacher_miniapp","transfer review","REAL","transfer API","teacher dorm review page","miniapp/src/pages/teacher/dorm-review/index.vue","D6 补楼栋/角色/并发证据"
"DORM","provider","return-to-dorm event","NOT_APPLICABLE","future provider event authority","none","current exact head","provider unavailable 不得解释成未归"
"DORM","all","100/500 concurrency","NOT_APPLICABLE","N/A","tests","backend/tests/test_affairs_dorm*.py","当前未覆盖"
"DORM","all","Golden Journey","NOT_APPLICABLE","N/A","tests","backend/tests/test_affairs_dorm*.py","当前未完整覆盖"
